lex_1,lemma,dice
в,и,12.162613814463892
в,быть,11.542819012688673
в,он,11.532486081868923
в,в,11.466857209273329
в,что,11.440123631720494
в,год,11.428839565329183
в,этот,11.421259795443705
в,не,11.39971283834885
в,я,11.287295265667263
в,с,11.194104127079928
в,который,11.176153467570076
в,на,11.171711730930095
в,свой,11.146205417380283
в,тот,11.145310030076644
в,а,11.089190954588496
в,то,11.038278881214584
в,время,11.001953001065063
в,она,10.957882100397912
в,как,10.934278851359547
в,они,10.837254712847477
в,мы,10.72153098583863
в,но,10.708831296834104
в,один,10.645513447064298
в,же,10.583999082657156
в,его,10.542694630943513
в,день,10.532446832963332
в,это,10.494577532209812
в,из,10.459473723050696
в,по,10.45191178422056
в,у,10.396837915640885
в,к,10.392148535710099
в,себя,10.368685910151502
в,дело,10.355382243000195
в,наш,10.335932232164541
в,весь,10.31816504048922
в,от,10.31183695681677
в,человек,10.310675605803695
в,такой,10.299597718955386
в,случай,10.27307191567592
в,первый,10.265354984287729
в,москва,10.264862001850615
в,все,10.257530549183972
в,самый,10.249633515028542
в,раз,10.243553893703504
в,другой,10.219703427566518
в,жизнь,10.218343474983573
в,когда,10.215578291313253
в,дом,10.198138868925755
в,или,10.196675793862587
в,рука,10.164425050678496
в,только,10.161197777962286
в,час,10.14169079816412
в,мой,10.111164814540832
в,город,10.099413964350495
в,так,10.091191834435639
в,за,10.067236309264587
в,уже,10.05470379541996
в,конец,10.049312249016532
в,еще,10.034078022920847
в,россия,10.008656127432097
в,о,9.983695810494485
в,мочь,9.95183847431621
в,вид,9.9436367942893
в,где,9.903466631448637
в,для,9.89598886212113
в,место,9.884179116864221
в,сторона,9.858591127469825
в,жить,9.855738111293535
в,комната,9.846477968722887
в,два,9.836361452229978
в,последний,9.774967977172508
в,вы,9.75191414290227
в,ее,9.749699149916665
в,бы,9.745471704197639
в,ни,9.731270634630555
в,мир,9.718714877575762
в,глаз,9.692551661874273
в,чтобы,9.66293147547721
в,новый,9.65252055321779
в,находиться,9.64395565621937
в,их,9.643724209515902
в,число,9.629915635392098
в,даже,9.624008858563169
в,сам,9.613084749681516
в,страна,9.6079433254643
в,большой,9.604044834651575
в,голова,9.583510770904923
в,ты,9.580409905317008
в,если,9.528539016908
в,лицо,9.52627190878729
в,работа,9.491975508886709
в,иметь,9.48673015950907
в,войти,9.479096218947316
в,сила,9.476647112739542
в,общий,9.47225881361217
в,сказать,9.452830041438013
в,русский,9.436155397525988
в,до,9.425758004696082
в,какой,9.425529878588547
в,идти,9.41964049616883
в,вода,9.416503935085121
в,говорить,9.40901715988377
в,отношение,9.408639381634671
в,каждый,9.40795556406502
в,стать,9.404832223137799
в,сидеть,9.401240709470382
в,слово,9.368115995781453
в,при,9.347179946792624
в,прийти,9.342190512532184
в,видеть,9.339393194278308
в,смысл,9.329780037684513
в,стоять,9.320085918577607
в,начало,9.31402504830157
в,какой-то,9.289258968516009
в,несколько,9.281105267646964
в,минута,9.281053408005535
в,нет,9.275010250038001
в,петербург,9.27219241972833
в,течение,9.264876806529902
в,вечер,9.256473705518932
в,школа,9.240714737663179
в,душа,9.220081996920687
в,пойти,9.219048528758155
в,область,9.219042283889461
в,ночь,9.213190651828434
